Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A Faster P&#xa0;Solution for the Byzantine Agreement Problem,Membrane Computing,,,,10.1007/978-3-642-18123-8_15,Michael J. DinneenYun-Bum KimRadu Nicolescu,2010,https://link.springer.com/chapter/10.1007/978-3-642-18123-8_15,Conference paper
Entropy of Graphical Passwords: Towards an Information-Theoretic Analysis of Face-Recognition Based Authentication,Communications and Multimedia Security,,,,10.1007/978-3-642-13241-4_16,Stefan RassDavid SchullerChristian Kollmitzer,2010,https://link.springer.com/chapter/10.1007/978-3-642-13241-4_16,Conference paper
Concurrent Pattern Calculus,Theoretical Computer Science,,,,10.1007/978-3-642-15240-5_18,Thomas Given-WilsonDaniele GorlaBarry Jay,2010,https://link.springer.com/chapter/10.1007/978-3-642-15240-5_18,Conference paper
Roly-poly: A Haptic Interface with a Self-righting Feature,Haptics: Generating and Perceiving Tangible Sensations,,,,10.1007/978-3-642-14064-8_48,Seung-Chan KimByung-Kil HanSoo-Chul LimAndrea BianchiKi-Uk KyungDong-Soo Kwon,2010,https://link.springer.com/chapter/10.1007/978-3-642-14064-8_48,Conference paper
DoS Attack Inference Using Traffic Wave Analysis,Recent Trends in Networks and Communications,,,,10.1007/978-3-642-14493-6_19,P. JayashreeT. AravinthS. Ashok KumarS. K. R. Manikandan,2010,https://link.springer.com/chapter/10.1007/978-3-642-14493-6_19,Conference paper
Promoting Models,Unifying Theories of Programming,,,,10.1007/978-3-642-16690-7_12,Qin LiYongxin ZhaoXiaofeng WuSi Liu,2010,https://link.springer.com/chapter/10.1007/978-3-642-16690-7_12,Conference paper
Regulatory Compliant Oblivious RAM,Applied Cryptography and Network Security,,,,10.1007/978-3-642-13708-2_27,Bogdan CarbunarRadu Sion,2010,https://link.springer.com/chapter/10.1007/978-3-642-13708-2_27,Conference paper
Using Decision Structures for Policy Analysis in Software Product-line Evolution – A Case Study,Advanced Techniques in Computing Sciences and Software Engineering,,,,10.1007/978-90-481-3660-5_97,Nita SarangMukund A Sanglikar,2010,https://link.springer.com/chapter/10.1007/978-90-481-3660-5_97,Conference paper
Markov Chain Models for Genetic Algorithm Based Topology Control in MANETs,Applications of Evolutionary Computation,,,,10.1007/978-3-642-12242-2_5,Cem Şafak ŞahinStephen GundryElkin UrreaM. Ümit UyarMichael ConnerGiorgio BertoliChristian Pizzo,2010,https://link.springer.com/chapter/10.1007/978-3-642-12242-2_5,Conference paper
VERTAF/Multi-Core: A SysML-Based Application Framework for Multi-Core Embedded Software Development,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-3-642-03095-6_30,Pao-Ann HsiungChao-Sheng LinShang-Wei LinYean-Ru ChenChun-Hsien LuSheng-Ya TongWan-Ting SuChihhsiong ShihChorng-Shiuh KoongNien-Lin HsuehChih-Hung ChangWilliam C. Chu,2009,https://link.springer.com/chapter/10.1007/978-3-642-03095-6_30,Conference paper
MLP-Aware Instruction Queue Resizing: The Key to Power-Efficient Performance,Architecture of Computing Systems - ARCS 2010,,,,10.1007/978-3-642-11950-7_11,Pavlos PetoumenosGeorgia PsychouStefanos KaxirasJuan Manuel Cebrian GonzalezJuan Luis Aragon,2010,https://link.springer.com/chapter/10.1007/978-3-642-11950-7_11,Conference paper
Detecting Change via Competence Model,Case-Based Reasoning. Research and Development,,,,10.1007/978-3-642-14274-1_16,Ning LuGuangquan ZhangJie Lu,2010,https://link.springer.com/chapter/10.1007/978-3-642-14274-1_16,Conference paper
Physical Algorithms,"Automata, Languages and Programming",,,,10.1007/978-3-642-14162-1_4,Roger Wattenhofer,2010,https://link.springer.com/chapter/10.1007/978-3-642-14162-1_4,Conference paper
One-Time-Password-Authenticated Key Exchange,Information Security and Privacy,,,,10.1007/978-3-642-14081-5_17,Kenneth G. PatersonDouglas Stebila,2010,https://link.springer.com/chapter/10.1007/978-3-642-14081-5_17,Conference paper
Middleware for a Re-configurable Distributed Archival Store Based on Secret Sharing,Middleware 2010,,,,10.1007/978-3-642-16955-7_6,Shiva ChaitanyaDharani VijayakumarBhuvan UrgaonkarAnand Sivasubramaniam,2010,https://link.springer.com/chapter/10.1007/978-3-642-16955-7_6,Conference paper
Modeling and Analysis of Thread-Pools in an Industrial Communication Platform,Formal Methods and Software Engineering,,,,10.1007/978-3-642-10373-5_19,Frank S. de BoerImmo GrabeMohammad Mahdi JaghooriAndries StamWang Yi,2009,https://link.springer.com/chapter/10.1007/978-3-642-10373-5_19,Conference paper
Abstraction-Based Information Technology: A Framework for Open Mechanized Reasoning,Intelligent Computer Mathematics,,,,10.1007/978-3-642-02614-0_3,Jacques Calmet,2009,https://link.springer.com/chapter/10.1007/978-3-642-02614-0_3,Conference paper
Accelerating Calculations on the RASC Platform: A Case Study of the Exponential Function,"Reconfigurable Computing: Architectures, Tools and Applications",,,,10.1007/978-3-642-00641-8_33,Maciej WielgoszErnest JamroKazimierz Wiatr,2009,https://link.springer.com/chapter/10.1007/978-3-642-00641-8_33,Conference paper
Hardware Implementation Study of the SCFQ-CA and DRR-CA Scheduling Algorithms,Euro-Par 2009 Parallel Processing,,,,10.1007/978-3-642-03869-3_100,Raúl MartínezFrancisco J. AlfaroJosé L. SánchezJosé M. Claver,2009,https://link.springer.com/chapter/10.1007/978-3-642-03869-3_100,Conference paper
An Electronic Tree Inventory for Arboriculture Management,Applications and Innovations in Intelligent Systems XVI,,,,10.1007/978-1-84882-215-3_12,Roger J. TaitTony J. AllenNasser SherkatMarcus D. Bellett-Travers,2009,https://link.springer.com/chapter/10.1007/978-1-84882-215-3_12,Conference paper
Implementation of the Ada 2005 Task Dispatching Model in MaRTE OS and GNAT,Reliable Software Technologies – Ada-Europe 2009,,,,10.1007/978-3-642-01924-1_8,Mario Aldea RivasMichael González HarbourJosé F. Ruiz,2009,https://link.springer.com/chapter/10.1007/978-3-642-01924-1_8,Conference paper
IT Complexity Revolution: Intelligent Tools for the Globalised World Development,IT Revolutions,,,,10.1007/978-3-642-03978-2_1,Andrei KirilyukMihaela Ulieru,2009,https://link.springer.com/chapter/10.1007/978-3-642-03978-2_1,Conference paper
Efficient Suboptimal Graph Isomorphism,Graph-Based Representations in Pattern Recognition,,,,10.1007/978-3-642-02124-4_13,Kaspar RiesenStefan FankhauserHorst BunkePeter Dickinson,2009,https://link.springer.com/chapter/10.1007/978-3-642-02124-4_13,Conference paper
Development and Performance Analysis of Grid Scheduling Algorithms,Advances in Information Technology,,,,10.1007/978-3-642-10392-6_16,Syed Nasir Mehmood ShahAhmad Kamil Bin MahmoodAlan Oxley,2009,https://link.springer.com/chapter/10.1007/978-3-642-10392-6_16,Conference paper
Information Hypothesis: On Human Information Capability Study,Brain Informatics,,,,10.1007/978-3-642-04954-5_13,Jiří Krajíček,2009,https://link.springer.com/chapter/10.1007/978-3-642-04954-5_13,Conference paper
Process-Algebraic Interpretation of AADL Models,Reliable Software Technologies – Ada-Europe 2009,,,,10.1007/978-3-642-01924-1_16,Oleg SokolskyInsup LeeDuncan Clarke,2009,https://link.springer.com/chapter/10.1007/978-3-642-01924-1_16,Conference paper
A Mathematical Approach to Ontology Authoring and Documentation,Intelligent Computer Mathematics,,,,10.1007/978-3-642-02614-0_31,Christoph LangeMichael Kohlhase,2009,https://link.springer.com/chapter/10.1007/978-3-642-02614-0_31,Conference paper
Paradox in AI – AI 2.0: The Way to Machine Consciousness,IT Revolutions,,,,10.1007/978-3-642-03978-2_18,Peter PalenskyDietmar BrucknerAnna TmejTobias Deutsch,2009,https://link.springer.com/chapter/10.1007/978-3-642-03978-2_18,Conference paper
Adaptive Management of Multigranular Spatio-Temporal Object Attributes,Advances in Spatial and Temporal Databases,,,,10.1007/978-3-642-02982-0_21,Elena CamossiElisa BertinoGiovanna GuerriniMichela Bertolotto,2009,https://link.springer.com/chapter/10.1007/978-3-642-02982-0_21,Conference paper
Real-Time Robust Adaptive Modeling and Scheduling for an Electronic Commerce Server,E-Commerce and Web Technologies,,,,10.1007/978-3-642-03964-5_20,Bing DuChun Ruan,2009,https://link.springer.com/chapter/10.1007/978-3-642-03964-5_20,Conference paper
A Hybrid Hardware and Software Component Architecture for Embedded System Design,"Analysis, Architectures and Modelling of Embedded Systems",,,,10.1007/978-3-642-04284-3_24,Hugo MarcondesAntônio Augusto Fröhlich,2009,https://link.springer.com/chapter/10.1007/978-3-642-04284-3_24,Conference paper
Remotely Telling Humans and Computers Apart: An Unsolved Problem,iNetSec 2009 – Open Research Problems in Network Security,,,,10.1007/978-3-642-05437-2_2,Carlos Javier Hernandez-CastroArturo Ribagorda,2009,https://link.springer.com/chapter/10.1007/978-3-642-05437-2_2,Conference paper
Achieving High-Level Directives Using Strategy-Trees,Modelling Autonomic Communications Environments,,,,10.1007/978-3-642-05006-0_4,Bradley SimmonsHanan Lutfiyya,2009,https://link.springer.com/chapter/10.1007/978-3-642-05006-0_4,Conference paper
Parameter Space Exploration Using Scientific Workflows,Computational Science – ICCS 2009,,,,10.1007/978-3-642-01970-8_11,David AbramsonBlair BethwaiteColin EnticottSlavisa GaricTom Peachey,2009,https://link.springer.com/chapter/10.1007/978-3-642-01970-8_11,Conference paper
Plugging the Holes: Increasing the Impact of User Experience Evaluations,Human Centered Design,,,,10.1007/978-3-642-02806-9_18,Sachin S. YambalSushmita Munshi,2009,https://link.springer.com/chapter/10.1007/978-3-642-02806-9_18,Conference paper
DEEP-SaM - Energy-Efficient Provisioning Policies for Computing Environments,Grid Economics and Business Models,,,,10.1007/978-3-642-03864-8_1,Christian BodensteinTim PüschelMarkus HedwigDirk Neumann,2009,https://link.springer.com/chapter/10.1007/978-3-642-03864-8_1,Conference paper
Modelling of Multi-tier Internet Applications with the Use of BCMP Queueing Networks and Simulation Model in Simulink,Computer Networks,,,,10.1007/978-3-642-02671-3_24,Andrzej Imiełowski,2009,https://link.springer.com/chapter/10.1007/978-3-642-02671-3_24,Conference paper
Is Self-organization a Rational Expectation?,Complex Sciences,,,,10.1007/978-3-642-02466-5_30,Heinz Luediger,2009,https://link.springer.com/chapter/10.1007/978-3-642-02466-5_30,Conference paper
Ant Colony Optimization Algorithms for Shortest Path Problems,Network Control and Optimization,,,,10.1007/978-3-642-00393-6_5,Sudha Rani KolavaliShalabh Bhatnagar,2009,https://link.springer.com/chapter/10.1007/978-3-642-00393-6_5,Conference paper
Customer Boards as Vehicles of Change in Enterprise Software User Experience,Human Interface and the Management of Information. Designing Information Environments,,,,10.1007/978-3-642-02556-3_36,Anna M. Wichansky,2009,https://link.springer.com/chapter/10.1007/978-3-642-02556-3_36,Conference paper
Quantum Random Bit Generator Service for Monte Carlo and Other Stochastic Simulations,Large-Scale Scientific Computing,,,,10.1007/978-3-540-78827-0_58,Radomir StevanovićGoran TopićKarolj SkalaMario StipčevićBranka Medved Rogina,2008,https://link.springer.com/chapter/10.1007/978-3-540-78827-0_58,Conference paper
"On Business-Driven IT Security Management and Mismatches between Security Requirements in Firms, Industry Standards and Research Work",Product-Focused Software Process Improvement,,,,10.1007/978-3-642-02152-7_28,Christian Frühwirth,2009,https://link.springer.com/chapter/10.1007/978-3-642-02152-7_28,Conference paper
Multi Visualization and Dynamic Query for Effective Exploration of Semantic Data,The Semantic Web - ISWC 2009,,,,10.1007/978-3-642-04930-9_32,Daniela PetrelliSuvodeep MazumdarAba-Sah DadzieFabio Ciravegna,2009,https://link.springer.com/chapter/10.1007/978-3-642-04930-9_32,Conference paper
Semantically Expanding Questions for Supervised Automatic Classification,Flexible Query Answering Systems,,,,10.1007/978-3-642-04957-6_32,Ali HarbMichel BeigbederJean-Jacques Girardot,2009,https://link.springer.com/chapter/10.1007/978-3-642-04957-6_32,Conference paper
Implementation of the ABC Quantum Mechanical Reactive Scattering Program on the EGEE Grid Platform,Computational Science and Its Applications – ICCSA 2008,,,,10.1007/978-3-540-69839-5_84,Dimitrios SkouterisAlessandro CostantiniAntonio LaganàGergely SiposÁkos BalaskóPéter Kacsuk,2008,https://link.springer.com/chapter/10.1007/978-3-540-69839-5_84,Conference paper
Localization by Wireless Technologies for Managing of Large Scale Data Artifacts on Mobile Devices,"Computational Collective Intelligence. Semantic Web, Social Networks and Multiagent Systems",,,,10.1007/978-3-642-04441-0_61,Ondrej Krejcar,2009,https://link.springer.com/chapter/10.1007/978-3-642-04441-0_61,Conference paper
A Multi-Agent System for the Pay-As-You-GO (PAYGO) Social Security Scheme,Holonic and Multi-Agent Systems for Manufacturing,,,,10.1007/978-3-642-03668-2_28,Athanasios A. PantelousAlexandros A. Zimbidis,2009,https://link.springer.com/chapter/10.1007/978-3-642-03668-2_28,Conference paper
Enterprise Cluster Dynamics and Innovation Diffusion: A New Scientific Approach,Active Media Technology,,,,10.1007/978-3-642-04875-3_33,Marco RemondinoMarco PirontiPaola Pisano,2009,https://link.springer.com/chapter/10.1007/978-3-642-04875-3_33,Conference paper
Assistive Systems: A Paradigm Shift in Technology and Medical Care,Intelligent Interactive Assistance and Mobile Multimedia Computing,,,,10.1007/978-3-642-10263-9_1,Michael MeyerArthur F. PeaseMichael Lang,2009,https://link.springer.com/chapter/10.1007/978-3-642-10263-9_1,Conference paper
An Agent-Oriented Quantum Key Distribution for Wi-Fi Network Security,Knowledge-Based Intelligent Information and Engineering Systems,,,,10.1007/978-3-540-85567-5_29,Xu HuangDharmendra Sharma,2008,https://link.springer.com/chapter/10.1007/978-3-540-85567-5_29,Conference paper
An Algebra of Pieces of Space — Hermann Grassmann to Gian Carlo Rota,From Combinatorics to Philosophy,,,,10.1007/978-0-387-88753-1_5,Henry Crapo,2009,https://link.springer.com/chapter/10.1007/978-0-387-88753-1_5,Conference paper
Significance-Based Failure and Interference Detection in Data Streams,Database and Expert Systems Applications,,,,10.1007/978-3-642-03573-9_54,Nickolas J. G. FalknerQuan Z. Sheng,2009,https://link.springer.com/chapter/10.1007/978-3-642-03573-9_54,Conference paper
Analysis and Comparison of Multicast Routing Protocols for Mobile IPTV,Communication and Networking,,,,10.1007/978-3-642-10844-0_70,Yu-Doo KimIl-Young Moon,2009,https://link.springer.com/chapter/10.1007/978-3-642-10844-0_70,Conference paper
Crafting Contemporary Enterprise Application User Experiences,Human Interface and the Management of Information. Designing Information Environments,,,,10.1007/978-3-642-02556-3_1,Jeremy AshleyMisha W. Vaughan,2009,https://link.springer.com/chapter/10.1007/978-3-642-02556-3_1,Conference paper
Enhancing Decision Space Diversity in Evolutionary Multiobjective Algorithms,Evolutionary Multi-Criterion Optimization,,,,10.1007/978-3-642-01020-0_12,Ofer M. ShirMike PreussBoris NaujoksMichael Emmerich,2009,https://link.springer.com/chapter/10.1007/978-3-642-01020-0_12,Conference paper
The Case for Grounding Databases,GeoSpatial Semantics,,,,10.1007/978-3-642-10436-7_4,Simon Scheider,2009,https://link.springer.com/chapter/10.1007/978-3-642-10436-7_4,Conference paper
Utilizing Wireless Positioning as a Tracking Data Source,Advances in Spatial and Temporal Databases,,,,10.1007/978-3-642-02982-0_13,Spiros AthanasiouPanos GeorgantasGeorge GerakakisDieter Pfoser,2009,https://link.springer.com/chapter/10.1007/978-3-642-02982-0_13,Conference paper
Fuzzy Entropy Method for Quantifying Supply Chain Networks Complexity,Complex Sciences,,,,10.1007/978-3-642-02469-6_47,Jihui ZhangJunqin Xu,2009,https://link.springer.com/chapter/10.1007/978-3-642-02469-6_47,Conference paper
A Novel Hybrid Particle Swarm Optimization for Multi-Objective Problems,Artificial Intelligence and Computational Intelligence,,,,10.1007/978-3-642-05253-8_4,Siwei JiangZhihua Cai,2009,https://link.springer.com/chapter/10.1007/978-3-642-05253-8_4,Conference paper
Debt Detection in Social Security by Adaptive Sequence Classification,"Knowledge Science, Engineering and Management",,,,10.1007/978-3-642-10488-6_21,Shanshan WuYanchang ZhaoHuaifeng ZhangChengqi ZhangLongbing CaoHans Bohlscheid,2009,https://link.springer.com/chapter/10.1007/978-3-642-10488-6_21,Conference paper
Using Sensor Noise to Identify Low Resolution Compressed Videos from YouTube,Computational Forensics,,,,10.1007/978-3-642-03521-0_10,Wiger van HoutenZeno Geradts,2009,https://link.springer.com/chapter/10.1007/978-3-642-03521-0_10,Conference paper
New Possibilities of Intelligent Crisis Management by Large Multimedia Artifacts Prebuffering,IT Revolutions,,,,10.1007/978-3-642-03978-2_6,Ondrej KrejcarJindrich Cernohorsky,2009,https://link.springer.com/chapter/10.1007/978-3-642-03978-2_6,Conference paper
Validation and Verification of Agent-Based Models in the Social Sciences,Epistemological Aspects of Computer Simulation in the Social Sciences,,,,10.1007/978-3-642-01109-2_10,Paul OrmerodBridget Rosewell,2009,https://link.springer.com/chapter/10.1007/978-3-642-01109-2_10,Conference paper
A Visualization Technique for Quality Control of Massive Digitization Programs,Research and Advanced Technology for Digital Libraries,,,,10.1007/978-3-642-04346-8_16,Rodrigo Andrade de AlmeidaPedro AlessioAlexandre TopolPierre Cubaud,2009,https://link.springer.com/chapter/10.1007/978-3-642-04346-8_16,Conference paper
Safety Expenditur e: wher e should we draw the Line?,"Safety-Critical Systems: Problems, Process and Practice",,,,10.1007/978-1-84882-349-5_4,Mike Jones-Lee,2009,https://link.springer.com/chapter/10.1007/978-1-84882-349-5_4,Conference paper
On the Role of Self-organisation as a Model for Networked Systems,Self-Organizing Systems,,,,10.1007/978-3-642-10865-5_27,Hajo Greif,2009,https://link.springer.com/chapter/10.1007/978-3-642-10865-5_27,Conference paper
"Dynamics, Robustness and Fragility of Trust",Formal Aspects in Security and Trust,,,,10.1007/978-3-642-01465-9_7,Dusko Pavlovic,2009,https://link.springer.com/chapter/10.1007/978-3-642-01465-9_7,Conference paper
A Decision Making Model for Vendor-Buyer Inventory Systems,"Rough Sets, Fuzzy Sets, Data Mining and Granular Computing",,,,10.1007/978-3-642-10646-0_41,Hui-Ming WeeJie LuGuangquan ZhangHuai-En ChiaoYa Gao,2009,https://link.springer.com/chapter/10.1007/978-3-642-10646-0_41,Conference paper
Satellite Broadband Revolution: How Latest Ka-Band Systems Will Change the Rules of the Industry. An Interpretation of the Technological Trajectory,Personal Satellite Services,,,,10.1007/978-3-642-04260-7_7,Fabio Valle,2009,https://link.springer.com/chapter/10.1007/978-3-642-04260-7_7,Conference paper
Teletraffic Capacity Performance of WDM/DS-OCDMA Passive Optical Network,Smart Spaces and Next Generation Wired/Wireless Networking,,,,10.1007/978-3-642-04190-7_13,Mohammad GharaeiCatherine LepersOlfa AffesPhilippe Gallion,2009,https://link.springer.com/chapter/10.1007/978-3-642-04190-7_13,Conference paper
Debt Detection in Social Security by Sequence Classification Using Both Positive and Negative Patterns,Machine Learning and Knowledge Discovery in Databases,,,,10.1007/978-3-642-04174-7_42,Yanchang ZhaoHuaifeng ZhangShanshan WuJian PeiLongbing CaoChengqi ZhangHans Bohlscheid,2009,https://link.springer.com/chapter/10.1007/978-3-642-04174-7_42,Conference paper
Adaptive Scheduling for QoS Virtual Machines under Different Resource Allocation – Performance Effects and Predictability,Job Scheduling Strategies for Parallel Processing,,,,10.1007/978-3-642-04633-9_14,Angela C. Sodan,2009,https://link.springer.com/chapter/10.1007/978-3-642-04633-9_14,Conference paper
Explicit Control of Service Execution to Support QoS-Based Grid Scheduling,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-3-540-69501-1_25,Claudia Di NapoliMaurizio Giordano,2008,https://link.springer.com/chapter/10.1007/978-3-540-69501-1_25,Conference paper
DL2Go: Editable Digital Libraries in the Pocket,Digital Libraries: Universal and Ubiquitous Access to Information,,,,10.1007/978-3-540-89533-6_1,Hyunyoung KilWonhong NamDongwon Lee,2008,https://link.springer.com/chapter/10.1007/978-3-540-89533-6_1,Conference paper
MSSML: A Molecular Spectroscopic Simulations Markup Language for Rovibrational Studies,Computational Science and Its Applications – ICCSA 2008,,,,10.1007/978-3-540-69839-5_76,Javier DíazSebastián ReyesCamelia Muñoz-CaroAlfonso Niño,2008,https://link.springer.com/chapter/10.1007/978-3-540-69839-5_76,Conference paper
Highly Efficient Structure of 64-Bit Exponential Function Implemented in FPGAs,"Reconfigurable Computing: Architectures, Tools and Applications",,,,10.1007/978-3-540-78610-8_28,Maciej WielgoszErnest JamroKazimierz Wiatr,2008,https://link.springer.com/chapter/10.1007/978-3-540-78610-8_28,Conference paper
QoS Route Discovery of Ad Hoc Networks Based on Intelligence Computing,Advances in Neural Networks - ISNN 2008,,,,10.1007/978-3-540-87732-5_92,Cong JinShu-Wei Jin,2008,https://link.springer.com/chapter/10.1007/978-3-540-87732-5_92,Conference paper
Towards End-to-End Quality of Service: Controlling I/O Interference in Shared Storage Servers,Middleware 2008,,,,10.1007/978-3-540-89856-6_15,Gokul SoundararajanCristiana Amza,2008,https://link.springer.com/chapter/10.1007/978-3-540-89856-6_15,Conference paper
Ultra-fast Semiconductor Carrier Transport Simulation on the Grid,Large-Scale Scientific Computing,,,,10.1007/978-3-540-78827-0_52,Emanouil AtanassovTodor GurovAneta Karaivanova,2008,https://link.springer.com/chapter/10.1007/978-3-540-78827-0_52,Conference paper
GridARS: An Advance Reservation-Based Grid Co-allocation Framework for Distributed Computing and Network Resources,Job Scheduling Strategies for Parallel Processing,,,,10.1007/978-3-540-78699-3_9,Atsuko TakefusaHidemoto NakadaTomohiro KudohYoshio TanakaSatoshi Sekiguchi,2008,https://link.springer.com/chapter/10.1007/978-3-540-78699-3_9,Conference paper
Chemomentum - UNICORE 6 Based Infrastructure for Complex Applications in Science and Technology,Euro-Par 2007 Workshops: Parallel Processing,,,,10.1007/978-3-540-78474-6_12,Bernd SchullerBastian DemuthHartmut MixKatharina RaschMathilde RombergSulev SildUko MaranPiotr BałaEnrico del GrossoMosé CasalegnoNadège PiclinMarco PintoreWibke SudholtKim K. Baldridge,2008,https://link.springer.com/chapter/10.1007/978-3-540-78474-6_12,Conference paper
Personal Knowledge Management in E-Learning Era,Technologies for E-Learning and Digital Entertainment,,,,10.1007/978-3-540-69736-7_22,Weichao LiYong Liu,2008,https://link.springer.com/chapter/10.1007/978-3-540-69736-7_22,Conference paper
MOSES: MOdeling Software and platform architEcture in UML 2 for Simulation-based performance analysis,Quality of Software Architectures. Models and Architectures,,,,10.1007/978-3-540-87879-7_6,Vittorio CortellessaPierluigi PieriniRomina SpalazzeseAlessio Vianale,2008,https://link.springer.com/chapter/10.1007/978-3-540-87879-7_6,Conference paper
Grid Services for Parallel Molecular Dynamics with NAMD and CHARMM,Computational Science and Its Applications – ICCSA 2008,,,,10.1007/978-3-540-69839-5_79,Siegfried BenknerChristian SchröderMaria LuckaOthmar Steinhauser,2008,https://link.springer.com/chapter/10.1007/978-3-540-69839-5_79,Conference paper
An Extensible Timing Infrastructure for Adaptive Large-Scale Applications,Parallel Processing and Applied Mathematics,,,,10.1007/978-3-540-68111-3_124,Dylan StarkGabrielle AllenTom GoodaleThomas RadkeErik Schnetter,2008,https://link.springer.com/chapter/10.1007/978-3-540-68111-3_124,Conference paper
Strategy-Trees: A Feedback Based Approach to Policy Management,Modelling Autonomic Communications Environments,,,,10.1007/978-3-540-87355-6_3,Bradley SimmonsHanan Lutfiyya,2008,https://link.springer.com/chapter/10.1007/978-3-540-87355-6_3,Conference paper
Realization of a Computer Simulation Environment Based on ITBL and a Large Scale GW Calculation Performed on This Platform,High-Performance Computing,,,,10.1007/978-3-540-77704-5_40,Yoshiyuki KawazoeMarcel SluiterHiroshi MizusekiKyoko IchinosekiAmit JainKaoru OhnoSoh IshiiHitoshi AdachiHiroshi Yamaguchi,2008,https://link.springer.com/chapter/10.1007/978-3-540-77704-5_40,Conference paper
GARNET: A Graphical Attack Graph and Reachability Network Evaluation Tool,Visualization for Computer Security,,,,10.1007/978-3-540-85933-8_5,Leevar WilliamsRichard LippmannKyle Ingols,2008,https://link.springer.com/chapter/10.1007/978-3-540-85933-8_5,Conference paper
Virtual Time Fair Queuing Algorithm for a Computational Grid,Distributed Computing and Networking,,,,10.1007/978-3-540-92295-7_57,Daphne LopezS. V. Kasmir Raja,2008,https://link.springer.com/chapter/10.1007/978-3-540-92295-7_57,Conference paper
The BlenX Language: A Tutorial,Formal Methods for Computational Systems Biology,,,,10.1007/978-3-540-68894-5_9,Lorenzo DemattéCorrado PriamiAlessandro Romanel,2008,https://link.springer.com/chapter/10.1007/978-3-540-68894-5_9,Conference paper
Transferable Lessons from Biological and Supply Chain Networks to Autonomic Computing,Advances in Computer and Information Sciences and Engineering,,,,10.1007/978-1-4020-8741-7_10,Ani Calinescu,2008,https://link.springer.com/chapter/10.1007/978-1-4020-8741-7_10,Conference paper
Behavioural Theory at Work: Program Transformations in a Service-Centred Calculus,Formal Methods for Open Object-Based Distributed Systems,,,,10.1007/978-3-540-68863-1_5,Luís Cruz-FilipeIvan LaneseFrancisco MartinsAntónio RavaraVasco T. Vasconcelos,2008,https://link.springer.com/chapter/10.1007/978-3-540-68863-1_5,Conference paper
Self-Adaptive Networked Entities for Building Pervasive Computing Architectures,Evolvable Systems: From Biology to Hardware,,,,10.1007/978-3-540-85857-7_9,Martin DanekJean-Marc PhilippePetr HonzikChristian GamratRoman Bartosinski,2008,https://link.springer.com/chapter/10.1007/978-3-540-85857-7_9,Conference paper
An Emphatic Humanoid Robot with Emotional Latent Semantic Behavior,"Simulation, Modeling, and Programming for Autonomous Robots",,,,10.1007/978-3-540-89076-8_24,Antonio ChellaGiovanni PilatoRosario SorbelloGiorgio VassalloFrancesco CinquegraniSalvatore Maria Anzalone,2008,https://link.springer.com/chapter/10.1007/978-3-540-89076-8_24,Conference paper
Supporting NAMD Application on the Grid Using GPE,Parallel Processing and Applied Mathematics,,,,10.1007/978-3-540-68111-3_80,Rafał KluszczyńskiPiotr Bała,2008,https://link.springer.com/chapter/10.1007/978-3-540-68111-3_80,Conference paper
David and Goliath Commitments: UC Computation for Asymmetric Parties Using Tamper-Proof Hardware,Advances in Cryptology – EUROCRYPT 2008,,,,10.1007/978-3-540-78967-3_30,Tal MoranGil Segev,2008,https://link.springer.com/chapter/10.1007/978-3-540-78967-3_30,Conference paper
Scheduling for Reliable Execution in Autonomic Systems,Autonomic and Trusted Computing,,,,10.1007/978-3-540-69295-9_14,Terry TidwellRobert GlaubiusChristopher GillWilliam D. Smart,2008,https://link.springer.com/chapter/10.1007/978-3-540-69295-9_14,Conference paper
An Evolutionary General Purpose WebGIS to Disclose EGFR Mutations in Lung Cancer,Visual Information Systems. Web-Based Visual Information Search and Management,,,,10.1007/978-3-540-85891-1_28,Domenico AliottaPietro BuffaGennaro Iaccarino,2008,https://link.springer.com/chapter/10.1007/978-3-540-85891-1_28,Conference paper
Database Prebuffering as a Way to Create a Mobile Control and Information System with Better Response Time,Computational Science – ICCS 2008,,,,10.1007/978-3-540-69384-0_54,Ondrej KrejcarJindrich Cernohorsky,2008,https://link.springer.com/chapter/10.1007/978-3-540-69384-0_54,Conference paper
Improving Search Engines Performance on Multithreading Processors,High Performance Computing for Computational Science - VECPAR 2008,,,,10.1007/978-3-540-92859-1_19,Carolina BonacicCarlos GarciaMauricio MarinManuel PrietoFrancisco TiradoCesar Vicente,2008,https://link.springer.com/chapter/10.1007/978-3-540-92859-1_19,Conference paper
"A Comparison of the M-PCP, D-PCP, and FMLP on LITMUSRT",Principles of Distributed Systems,,,,10.1007/978-3-540-92221-6_9,Björn B. BrandenburgJames H. Anderson,2008,https://link.springer.com/chapter/10.1007/978-3-540-92221-6_9,Conference paper
Adapting BitTorrent to Wireless Ad Hoc Networks,"Ad-hoc, Mobile and Wireless Networks",,,,10.1007/978-3-540-85209-4_15,Mohamed Karim SbaiChadi BarakatJaeyoung ChoiAnwar Al HamraThierry Turletti,2008,https://link.springer.com/chapter/10.1007/978-3-540-85209-4_15,Conference paper
